name,image,description
Alles voller Hoffnung,https://einfachebuecher.de/media/7b/5c/82/1654876182/Alles_voller_Hoffnung_-_hires_m.jpg,"Igor wohnt bei seiner Oma Irene, die für ihn sorgt. Tagsüber arbeitet er in einer Werkstatt, und abends sieht er meistens fern.

Dann lernt er das obdachlose Mädchen Lisa kennen. Lisa und ihr Baby ziehen bei Irene ein. Gemeinsam sorgen sie für das Kind. Aber ist Lisa tatsächlich die Mutter des Babys?

Lesen Sie hier die ersten Kapitel aus Alles voller Hoffnung! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft

Dieses Buch ist auch als e-Book bei kobo und amazon erhältlich!"
Als Sklavin geboren,https://einfachebuecher.de/media/dd/4b/8f/1654876203/Als_Sklavin_geboren_-_cover_lowres_m.jpg,"Zu jedem Buch in unserer Reihe Vierzehn gibt es ein paar leckere Rezepte. Die Rezepte zu ""Als Sklavin geboren"" finden Sie hier.
„Nana, ich bin so unglücklich“, schluchzt er plötzlich.
Die Großmutter zuckt zusammen.
Sie schaut ängstlich umher.
Aber zum Glück ist niemand da.
„Ach, Junge“, sagt sie dann.
„Das liegt an deinem Alter.
Jeder Junge von 14 ist unglücklich.
In ein paar Jahren fühlst du dich besser.
Dann hast du eine Frau und eine eigene Hütte.“
„Nein, Nana“, beharrt Kwasi.
„Ich werde hier nie glücklich sein.
Ich hasse dieses Leben. Ich bin ein Feld-Sklave!
Ich habe nichts und ich darf nichts.
Ihre Oma ist Sklavin, ihre Mutter ist Sklavin.
Und Kwasi und Maisa arbeiten auch als Sklaven auf einer Farm.
Sie sind vierzehn Jahre alt und Zwillinge.
In diesem Buch erzählen drei Generationen über ihr Leben.
Wie es ist, Teenager in der Zeit der Sklaverei zu sein.
Geschichten über Elend, Schmerz und Kummer.
Aber auch über Mut, Liebe und die Familie.
Vierzehn ist eine Bücherreihe über Jugendliche im Alter von 14. Jugendliche, die zu einer anderen Zeit lebten. Die Bücher erzählen von ihren Wünschen, ihren Möglichkeiten und den Zwängen, die ihr Leben bestimmten.
Lesen Sie hier die ersten Kapitel aus Als Sklavin geboren! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
Am Ende des Tages,https://einfachebuecher.de/media/bf/53/8f/1654876193/Am_Ende_des_Tages_-_lowres_m.jpg,"Herausgeber: Bezirk Oberbayern
Paul Kajetan war früher einmal Polizist. Ein sehr guter sogar. Jetzt schlägt er sich mühsam als Privat-Detektiv durch. Doch dann hat die Münchner Kriminal-Polizei einen Auftrag für ihn: Er soll einen alten Mordfall aufklären. Kajetan ahnt nicht, was ihn erwartet – und gerät in tödliche Gefahr ...
Kajetan geht auf das Haus zu und klopft. Nichts tut sich.Er drückt den Tür-Griff herunter. Die Tür springt auf. Kajetanmacht einen Schritt in den Flur. In diesem Moment hört erhinter sich ein Geräusch. Schnell dreht er sich um. Da packtihn jemand am Arm und reißt ihn zur Seite. Im selbenMoment knallen zwei Schüsse. Ein wütender Aufschreiertönt, dann noch ein Schuss.
Robert Hültner wurde 1950 im bayerischen Ort Inzell geboren. Er schreibt Krimis, Dreh-Bücher und Theater-Stücke. Seine Kriminal-Romane um Paul Kajetan spielen im Bayern der 1920er-Jahre.
Lesen Sie hier die ersten Kapitel aus Am Ende des Tages! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
Anarosa findet einen Hund,https://einfachebuecher.de/media/b3/c6/5e/1654876240/Ein_Tag_im_..._Januar_Anarosa_findet_einen_Hund_lowres_m.jpg,"Als Anarosa ihre Kinder von der Schule abholt,
läuft ihnen ein Hund nach.
Der Hund will gar nicht mehr weg.
Anarosa versucht alles,
um den Besitzer zu finden.
Inzwischen merken sie,
dass es ein ganz besonderer Hund ist.
Sie möchten ihn eigentlich für immer behalten.
Doch dann klingelt das Telefon …
 
Die Buchreihe Ein Tag im … ist speziell für Menschen, die neu in Deutschland sind und am Anfang des Spracherwerbs stehen. Jedes Buch beinhaltet eine Geschichte, die sich in einem Monat des Jahres abspielt. Erzählt wird von jeweils einer Person, die immer eine andere Nationalität hat.
Die Bücher sind mit modernen One-Line-Grafiken illustriert und bieten eine Basis, um im Unterricht nicht nur über die Sprache, sondern auch die Kultur in Deutschland zu sprechen.  
Lesen Sie hier die ersten Kapitel aus Anarosa findet einen Hund (Ein Tag im Januar)! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
Anass auf dem Eis,https://einfachebuecher.de/media/71/fc/74/1661326765/Ein%20Tag%20im%20...%20November_Anass%20auf%20dem%20Eis_lowres.jpg,"Anass hat spannende Neuigkeiten. Er kann
es kaum erwarten, sie seinem Freund Saïd zu
erzählen. Den sieht er im Deutschkurs. Anass
freut sich auch auf den kleinen Ausflug: Sie gehen mit der ganzen Klasse zum
Schlittschuhlaufen. Am Ende vom Nachmittag
findet Saïd die Schlittschuhe von Anass. Aber wo ist Anass geblieben?
 
Die Buchreihe Ein Tag im … ist speziell für Menschen, die neu in Deutschland sind und am Anfang des Spracherwerbs stehen. Jedes Buch beinhaltet eine Geschichte, die sich in einem Monat des Jahres abspielt. Erzählt wird von jeweils einer Person, die immer eine andere Nationalität hat.Die Bücher sind mit modernen One-Line-Grafiken illustriert und bieten eine Basis, um im Unterricht nicht nur über die Sprache, sondern auch die Kultur in Deutschland zu sprechen.  
Lesen Sie hier die ersten Kapitel aus Anass auf dem Eis (Ein Tag im November)! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
Angerichtet,https://einfachebuecher.de/media/d0/7d/cf/1654876187/Angerichtet_v1_m.jpg,"Paul kann seinen Bruder Serge, einen bekannten Politiker, nicht leiden. Trotzdem besuchen sie gemeinsam mit ihren Frauen ein Restaurant. Denn sie müssen über ihre Söhne reden. Die haben etwas getan, das ihre Zukunft in Gefahr bringt. Doch wie weit geht man, um seine eigene Familie zu schützen?

Ich schaute mir die Bilder der Überwachungs-Kamera an.
Mein Herz schlug wie wild, meine Lippen wurden trocken.
Ein Eiszapfen stach mir in den Kopf.
Da, rechts unten: etwas Weißes.
Ich wusste bereits, was es war.
Trotzdem holte ich mir eine Lupe.
Ein weißer Turnschuh.
So einer, wie ihn auch mein Sohn und mein Neffe tragen.

Herman Koch (1953) ist ein niederländischer Schauspieler und Schriftsteller. Sein Buch Het diner wurde 2009 in den Niederlanden mit dem wichtigen NS Publieksprijs ausgezeichnet. Der Roman ist in Deutschland 2010 unter dem Titel Angerichtet erschienen.

Lesen Sie hier die ersten Kapitel aus Angerichtet! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.

 Zubehör: Lesebegleitheft"
Annas Spuren,https://einfachebuecher.de/media/80/7c/18/1654876188/Annas_Spuren_-_hires_m.jpg,"In der Nazi-Zeit werden etwa 300.000 Menschen ermordet, weil sie behindert oder seelisch krank sind. Anna Lehnkering ist einer von diesen Menschen. Sie ist geistig behindert. Und wird deshalb 1940 ermordet. Sie stirbt mit nur 24 Jahren in der Tötungs-Anstalt Grafeneck.

Anna muss sehr einsam sein.
Ihre Mutter arbeitet viel.
Und ihre Brüder sind in der Schule oder spielen draußen.
In der Schule sollen die Kinder zu Nazis erzogen werden.
Auch die Brüder von Anna.

Sigrid Falkenstein erzählt in Annas Spuren die traurige Geschichte ihrer Tante. Weil sie an die schrecklichen Verbrechen aus der Nazi-Zeit und ihre Opfer erinnern will.Lesen Sie hier die ersten Kapitel aus Annas Spuren! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.

 Zubehör: Lesebegleitheft"
"Anne Frank, ihr Leben",https://einfachebuecher.de/media/ef/6f/55/1654876245/Anne_Frank_Duits_hires_m.jpg,"Anne Frank (1929 - 1945) ist das vielleicht berühmteste Mädchen der Welt. Sie ist durch ihr Tagebuch bekannt geworden. Anne Frank ist Jüdin. Sie wohnt in Amsterdam, als der Zweite Weltkrieg ausbricht. Sie muss mit ihren Eltern und ihrer Schwester untertauchen. Über zwei Jahre verstecken sie sich im Betrieb von Annes Vater, im Hinterhaus.

In Anne Frank, ihr Leben lesen Sie über Anne Frank. Über ihr Leben vor dem Untertauchen und über ihre Zeit im Hinterhaus. Über ihre erste Liebe und ihre Angst, entdeckt zu werden. Sie lesen auch, was passiert, nachdem die Familie festgenommen wird. Anne stirbt in einem Konzentrationslager, da ist sie 15 Jahre alt. Sie ist eines der sechs Millionen Opfer des Holocaust.

Diese Ausgabe entstand in enger Zusammenarbeit mit der Anne Frank Stiftung Amsterdam. Mit vielen eindringlichen historischen Fotos.Zu diesem Titel ist Unterrichtsmaterial erhältlich. Sie finden es hier.

Lesen Sie hier die ersten Kapitel aus Anne Frank, ihr Leben! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
Arsène Lupin. Meisterdieb,https://einfachebuecher.de/media/c7/e6/87/1654876238/Arsene_Lupin.Meisterdieb_lowres_m.jpg,"Arsène Lupin ist ein Dieb. Doch er ist alles andere als ein gewöhnlicher Dieb. Denn er ist ein kluger und charmanter Einbrecher, der mit Vorliebe bei sehr reichen Menschen einbricht. Dabei ändert er ständig sein Aussehen und tritt unter falschen Namen auf. Niemand weiß, wer Lupin wirklich ist. Lupins Gegenspieler ist Ganimard, der klügste Kommissar in ganz Frankreich. Er jagt Lupin schon seit Jahren. Gelingt es ihm nun endlich, ihn zu fangen?

 

Lupin macht seine Taschenlampe wieder an.

Da liegt eine Frau.

Sie hat zahlreiche Stich-Wunden.

Überall ist Blut. Die Frau ist tot.

""Wo ist die Perle?"", flüstert Lupin kaum hörbar.

Das Schmuck-Kästchen liegt auf dem Nachtschrank. Leer!

 

Jeder andere Dieb würde jetzt fliehen.

Aber Arsène Lupin läuft nicht weg, nicht sofort.

Es setzt sich in den Sessel und denkt ruhig nach.

Was ist hier wohl alles geschehen?

 

Maurice Leblanc veröffentlichte die erste Geschichten über den Meisterdieb Lupin im Jahr 1907.

Inzwischen wurden seine Bücher in viele Sprachen übersetzt und verfilmt.

Heute kennt man Lupin vor allem dank der gleichnamigen Netflix-Serie aus dem Jahr 2021.

 

Lesen Sie hier die ersten Kapitel aus Arsène Lupin: Meisterdieb! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.

 Zubehör: Lesebegleitheft"
Auf dem richtigen Weg,https://einfachebuecher.de/media/2c/f6/22/1654876244/Auf_dem_richtigen_Weg_-_cover_Lowres_m.jpg,"Ich will den Führerschein machen.

Und ich brauche neue Schuhe.

Aber ich habe kein Geld.

Deshalb suche ich Arbeit.

 

Eddie braucht dringend Geld. Ein Nebenjob ist schnell

gefunden. Aber die Arbeit ist schwieriger als gedacht.

Bedienen in einem Restaurant, Zeitungen austragen.

Es läuft nicht so, wie er möchte. Gibt es denn nichts,

was Eddie wirklich gut kann?

 

Auf dem richtigen Weg gehört zur Serie Schnappschuss, einer spannenden Buchreihe für Jugendliche. Mit einfachen Wörtern und dynamischen, bunten Illustrationen macht Lesen gleich doppelt so viel Spaß!

Lesen Sie hier die ersten Kapitel aus Auf dem richtigen Weg! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
Auf einen Schlag allein,https://einfachebuecher.de/media/eb/80/52/1654876241/Auf_einen_Schlag_allein_-_cover_Lowres_m.jpg,"Chungs Familie kommt aus Vietnam.
Jetzt lebt die Familie in Rostock.
An der Schule hat Chung ständig Ärger
mit ein paar anderen Jungs.


„Aber hallo, da ist ja die gelbe Erdnuss wieder!“,
ruft einer von den Jungen.
„Der Reis fressende Gelbling von Mareike.“
Chung tut so, als ob er nichts hört.
Das scheint ihm das Einfachste zu sein.
Er schaut in die Ferne.
Er hofft, dass der Bus bald kommt.


Der Ärger endet in einer Schlägerei.
Doch es kommt noch schlimmer …

 

Die Reality Reihe ist eine Buchreihe für und über Jugendliche. Jedes Buch erzählt eine spannende Geschichte über Themen, die Jugendliche bewegen.

Lesen Sie hier die ersten Kapitel aus Auf einen Schlag allein! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
Aus dem Nichts,https://einfachebuecher.de/media/1a/3c/0f/1654876212/Aus_dem_Nichts_-_cover_Lowres_m.jpg,"Für Katja bricht das Leben von einem Tag auf den anderen zusammen. Ein Anschlag zerstört ihre Familie. Vor dem Büro ihres Mannes wurde eine Bombe gezündet. Katja glaubt, die Täter zu kennen. Aber bei der Gerichts-Verhandlung kommen Zweifel auf.

Katja will nur eins: Gerechtigkeit! Und dafür riskiert sie alles!

Die Sirenen dröhnen in meinem Kopf.

Was ist da los?

Was ist passiert?

Die ganze Straße ist abgesperrt.

Die Straße, wo Nuri und Rocco auf mich warten.

Ich stürze aus dem Auto.

Ich renne los.

Polizisten wollen mich festhalten.

Ich wehre mich,

Ich schlage um mich.

Sie nehmen mich in den Klammer-Griff.

Sie drücken mich auf den Boden runter.

„Sie können da nicht hin!

Da war eine Explosion.“

Fatih Akin gewann für den Film „Aus dem Nichts“ 2018 den Golden Globe für den besten nicht englischsprachigen Film.

Lesen Sie hier die ersten Kapitel aus Aus dem Nichts! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
Ausgeliebt,https://einfachebuecher.de/media/e3/ae/a9/1654876197/Ausgeliebt_-_cover_Lowres_m.jpg,"Christine ist fast 40. Sie ist verheiratet mit Bernd. Leidenschaft gibt es schon lange nicht mehr. Dann passiert etwas, das Christine nicht erwartet hatte. Ist ihr Leben jetzt vorbei? Oder fängt es gerade erst richtig an?
„Kann ich dich zurückrufen?“, fragte ich.
„Der Film ist in zehn Minuten zu Ende.“
„Ich muss mit Dir reden“, antwortete Bernd.
Seine Stimme war anders als sonst.
Langsam stand ich auf und ging aus dem Wohnzimmer.
Bernd räusperte sich und schwieg. Ich auch.
Schließlich sagte er: „Ich habe nachgedacht, Christine.
Ich ... ähm ... ich will mich von Dir trennen.“
„Ausgeliebt“ ist der erste Roman der erfolgreichen Schriftstellerin Dora Heldt (geb. 1961). Ein Buch, das schmunzeln lässt und Mut macht.
Lesen Sie hier die ersten Kapitel aus Ausgeliebt! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
